Your session has expired,A sua sessão expirou
The <a href='https://www.w3schools.com/cssref/pr_border-style.asp' target='_blank'>CSS border-style</a> for the Layer on mouse hover,The <a href='https://www.w3schools.com/cssref/pr_border-style.asp' target='_blank'>CSS border-style</a> for the Layer on mouse hover
Border Top Width,Border Top Width
The border's top size (border-top-width) for the Layer on mouse hover,The border's top size (border-top-width) for the Layer on mouse hover
Border Right Width,Border Right Width
The border's right size (border-right-width) for the Layer on mouse hover,The border's right size (border-right-width) for the Layer on mouse hover
Border Bottom Width,Border Bottom Width
The border's bottom size (border-bottom-width) for the Layer on mouse hover,The border's bottom size (border-bottom-width) for the Layer on mouse hover
Border Left Width,Border Left Width
The border's left size (border-left-width) for the Layer on mouse hover,The border's left size (border-left-width) for the Layer on mouse hover
The top-left corner border-radius for the Layer on mouse hover (px or %),The top-left corner border-radius for the Layer on mouse hover (px or %)
The top-right corner border-radius for the Layer on mouse hover (px or %),The top-right corner border-radius for the Layer on mouse hover (px or %)
The bottom-left corner border-radius for the Layer on mouse hover (px or %),The bottom-left corner border-radius for the Layer on mouse hover (px or %)
The bottom-right corner border-radius for the Layer on mouse hover (px or %),The bottom-right corner border-radius for the Layer on mouse hover (px or %)
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the Layer on mouse hover,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/blur' target='_blank'>blur filter</a> value for the Layer on mouse hover
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the Layer on mouse hover,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/brightness' target='_blank'>brightness filter</a> value for the Layer on mouse hover
The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the Layer on mouse hover,The <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/filter-function/grayscale' target='_blank'>grayscale filter</a> value for the Layer on mouse hover
The parallax depth level to use for the Layer.  Level values are defined in the Slider Settings.,The parallax depth level to use for the Layer.  Level values are defined in the Slider Settings.
Parallax Masking,Parallax Masking
"Apply a mask to the Layer as the Parallax Effect takes place.  When applied, the content will never bleed outside this mask.","Apply a mask to the Layer as the Parallax Effect takes place.  When applied, the content will never bleed outside this mask."
Timeline Scroll Based,Timeline Scroll Based
Choose to animate the Layer's animation timeline as the Module scrolls into and out of view,Choose to animate the Layer's animation timeline as the Module scrolls into and out of view
Filter Effect Scroll Based,Filter Effect Scroll Based
Enable/Disable filter effects for the Layer as the Module scrolls into and out of view.  Filter effects applied via the <a href='http://docs.themepunch.com/slider-revolution/scroll-effects/' target='_blank'>Module Settings</a>,Enable/Disable filter effects for the Layer as the Module scrolls into and out of view.  Filter effects applied via the <a href='http://docs.themepunch.com/slider-revolution/scroll-effects/' target='_blank'>Module Settings</a>
Interaction,Interaction
"Choose if the Action should occur on user-click, mouse-over or mouse-out","Choose if the Action should occur on user-click, mouse-over or mouse-out"
Action Type,Action Type
Choose which Action should occur when the user interacts with the Layer,Choose which Action should occur when the user interacts with the Layer
Action Delay,Action Delay
Add an optional delay before the Action occurs (in milliseconds),Add an optional delay before the Action occurs (in milliseconds)
The url to navigate to for the 'Simple Link' Action,The url to navigate to for the 'Simple Link' Action
Choose if the link should be opened in the same window or in a new window,Choose if the link should be opened in the same window or in a new window
Use a traditional HTML hyperlink tag or trigger the Action via a jQuery event,Use a traditional HTML hyperlink tag or trigger the Action via a jQuery event
Follow,Follow
Choose 'No Follow' to discourage search engines from indexing index the link,Choose 'No Follow' to discourage search engines from indexing index the link
Call Back Function,Call Back Function
Call an external JavaScript function on user-interaction,Call an external JavaScript function on user-interaction
Scroll Offset,Scroll Offset
"The page will scroll to content below the Slider, and this offset will add or subtract pixels to the total amount scrolled.","The page will scroll to content below the Slider, and this offset will add or subtract pixels to the total amount scrolled."
Scroll Easing,Scroll Easing
The easing equation for the Scroll Action.  <a href='https://greensock.com/ease-visualizer' target=_'blank'>View visualization</a>,The easing equation for the Scroll Action.  <a href='https://greensock.com/ease-visualizer' target=_'blank'>View visualization</a>
Scroll Duration,Scroll Duration
The easing duration for the Scroll Action in milliseconds,The easing duration for the Scroll Action in milliseconds
Link the Layer to a specific Slide,Link the Layer to a specific Slide
Next/Previous Slide,Next/Previous Slide
Change to the next or previous Slide on user-interaction,Change to the next or previous Slide on user-interaction
Pause/Play Slider,Pause/Play Slider
Pause or Resume the Slider's progress on user-interaction,Pause or Resume the Slider's progress on user-interaction
Play/Pause the Slider on user-interaction,Play/Pause the Slider on user-interaction
Start Layer In/Out Animation,Start Layer In/Out Animation
Play a Layer's animation on-demand to show or hide the Layer,Play a Layer's animation on-demand to show or hide the Layer
Toggle Layer Animation,Toggle Layer Animation
Toggle any given Layer's animation in and out of view,Toggle any given Layer's animation in and out of view
Trigger a jQuery click event on any given Layer,Trigger a jQuery click event on any given Layer
Toggle (add/remove) a Layer's class name on user-interaction,Toggle (add/remove) a Layer's class name on user-interaction
Target Layer,Target Layer
Choose which Layer to target for the Layer Action,Choose which Layer to target for the Layer Action
Animation Timing,Animation Timing
Choose the Layer's default animation behavior in relation to the selected Action,Choose the Layer's default animation behavior in relation to the selected Action
Trigger Memory,Trigger Memory
Choose if the Layer's animation behavior should reset or not when the Slide replays again,Choose if the Layer's animation behavior should reset or not when the Slide replays again
Play/Pause Media,Play/Pause Media
Play or pause Video or Audio on user-interaction,Play or pause Video or Audio on user-interaction
Toggle Media Play/Pause,Toggle Media Play/Pause
Toggle a video or audio's play state on user-interaction,Toggle a video or audio's play state on user-interaction
Mute/Unmute Media,Mute/Unmute Media
Mute or Unmute the sound from a video or audio Layer on user-interaction,Mute or Unmute the sound from a video or audio Layer on user-interaction
Toggle Mute (All) Media,Toggle Mute (All) Media
"Toggle sound from a single video or audio Layer, or toggle all video/audio sound that exists in the Slide","Toggle sound from a single video or audio Layer, or toggle all video/audio sound that exists in the Slide"
Enter/Exit Fullscreen,Enter/Exit Fullscreen
Take the Slider fullscreen or exit fullscreen on user-interaction,Take the Slider fullscreen or exit fullscreen on user-interaction
Toggle the Slider fullscreen and non-fullscreen on user-interaction,Toggle the Slider fullscreen and non-fullscreen on user-interaction
Show/Hide on Desktop,Show/Hide on Desktop
Show or hide the Layer for the desktop viewport,Show or hide the Layer for the desktop viewport
Show/Hide on Laptop,Show/Hide on Laptop
